d/b,0.5,time ran,2/23/2022 5:08:34 PM,username,dariusm

t,d,h,w,x,b,,h/t,d/w,buckling_fos
0.02,6,0.05,0.5,1.2,12,,2.5,12,103.872756958008
0.02,6,0.05,0.5,1.5,12,,2.5,12,103.624290466309
0.02,6,0.05,0.8,1.2,12,,2.5,7.5,139.196594238281
0.02,6,0.05,0.8,1.5,12,,2.5,7.5,138.247589111328
0.02,6,0.08,0.5,1.2,12,,4,12,-154.185546875
0.02,6,0.08,0.5,1.5,12,,4,12,-152.200073242188
0.02,6,0.08,0.8,1.2,12,,4,7.5,-208.489608764648
0.02,6,0.08,0.8,1.5,12,,4,7.5,-205.604309082031
0.02,8,0.05,0.5,1.2,16,,2.5,16,69.9891967773438
0.02,8,0.05,0.5,1.5,16,,2.5,16,70.0116500854492
0.02,8,0.05,0.8,1.2,16,,2.5,10,90.7985382080078
0.02,8,0.05,0.8,1.5,16,,2.5,10,89.4865417480469
0.02,8,0.08,0.5,1.2,16,,4,16,-104.153060913086
0.02,8,0.08,0.5,1.5,16,,4,16,-103.157501220703
0.02,8,0.08,0.8,1.2,16,,4,10,-134.504730224609
0.02,8,0.08,0.8,1.5,16,,4,10,-133.627838134766
0.04,6,0.05,0.5,1.2,12,,1.25,12,473.706604003906
0.04,6,0.05,0.5,1.5,12,,1.25,12,475.077484130859
0.04,6,0.05,0.8,1.2,12,,1.25,7.5,539.880493164063
0.04,6,0.05,0.8,1.5,12,,1.25,7.5,544.602905273438
0.04,6,0.08,0.5,1.2,12,,2,12,690.723388671875
0.04,6,0.08,0.5,1.5,12,,2,12,686.548889160156
0.04,6,0.08,0.8,1.2,12,,2,7.5,897.722045898438
0.04,6,0.08,0.8,1.5,12,,2,7.5,894.409240722656
0.04,8,0.05,0.5,1.2,16,,1.25,16,321.901428222656
0.04,8,0.05,0.5,1.5,16,,1.25,16,325.373596191406
0.04,8,0.05,0.8,1.2,16,,1.25,10,379.867248535156
0.04,8,0.05,0.8,1.5,16,,1.25,10,381.257873535156
0.04,8,0.08,0.5,1.2,16,,2,16,460.993133544922
0.04,8,0.08,0.5,1.5,16,,2,16,462.756408691406
0.04,8,0.08,0.8,1.2,16,,2,10,587.693786621094
0.04,8,0.08,0.8,1.5,16,,2,10,579.428771972656
